Price of Tomatoes per KG in India

Date,Price
April-2012,20.623111111111104
July-2012,28.26916666666666
August-2012,27.64958333333334
September-2012,25.035744680851064
October-2012,20.5225
November-2012,20.17395833333333
December-2012,19.27291666666667
January-2013,16.287446808510637
February-2013,15.998936170212765
March-2013,15.706304347826086
April-2013,16.049565217391308
May-2013,21.259347826086955
June-2013,29.527291666666667
July-2013,41.063617021276606
August-2013,33.27914893617021
September-2013,29.812826086956512
October-2013,32.89875
November-2013,45.427000000000014
December-2013,34.10469387755103
January-2014,20.672857142857147
February-2014,16.45530612244897
March-2014,16.169183673469394
April-2014,17.849795918367345
May-2014,18.828163265306124
June-2014,18.42755102040816
July-2014,35.96270833333334
August-2014,51.258749999999985
September-2014,38.464583333333344
October-2014,32.846041666666665
November-2014,25.941875
December-2014,24.970208333333336
January-2015,23.433571428571433
February-2015,21.400892857142853
March-2015,20.526071428571424
April-2015,20.102807017543867
May-2015,25.19052631578948
June-2015,26.003684210526316
July-2015,30.016250000000003
August-2015,27.002321428571427
September-2015,26.94089285714285
October-2015,31.007454545454546
November-2015,40.20709090909091
December-2015,33.23109090909092
January-2016,29.044464285714287
February-2016,21.287678571428575
March-2016,18.44142857142857
April-2016,19.492321428571426
May-2016,26.782321428571425
June-2016,39.74654545454546
July-2016,42.78928571428572
August-2016,30.5990909090909
September-2016,26.02589285714286
October-2016,26.53418181818182
November-2016,23.022500000000004
December-2016,18.252545454545455
January-2017,15.807454545454545
February-2017,18.016785714285714
March-2017,18.259074074074075
April-2017,18.703703703703702
May-2017,18.716481481481477
June-2017,23.137777777777778
July-2017,60.04732142857142
August-2017,62.72910714285714
September-2017,41.8175
October-2017,39.01732142857143
November-2017,49.10857142857143
December-2017,39.60107142857142
January-2018,24.144821428571426
February-2018,19.619464285714287
March-2018,18.080892857142857
April-2018,16.80254545454545
May-2018,17.037499999999998
June-2018,22.43214285714286
July-2018,30.229454545454548
August-2018,28.338214285714287
September-2018,24.553035714285716
October-2018,23.860545454545452
November-2018,23.38777777777778
January-2019,24.82857142857143
February-2019,0
March-2019,0
April-2019,0
May-2019,0
June-2019,0
July-2019,37.289818181818184
August-2019,40.09740740740741
September-2019,33.468333333333334
October-2019,42.356666666666655
November-2019,40.78425925925925
December-2019,30.071111111111108
January-2020,26.650188679245282
February-2020,22.754905660377364
March-2020,22.338301886792447
April-2020,24.066923076923082
May-2020,19.879411764705885
June-2020,23.47079999999999
July-2020,48.550599999999996
August-2020,46.6192
September-2020,53.29470588235294
October-2020,46.00963636363636
November-2020,42.12072727272727
December-2020,34.68137931034483
January-2021,25.569210526315793
February-2021,23.640869565217397
March-2021,18.863543307086626
April-2021,18.189574468085112
May-2021,18.730141843971627
June-2021,21.481496598639456
July-2021,26.54445205479452
August-2021,29.336797385620912
September-2021,27.69181249999999
October-2021,31.6793953488372
November-2021,42.766666666666666
December-2021,39.463224299065416
January-2022,26.262289719626175
February-2022,19.58794392523365
March-2022,17.252523364485985
April-2022,19.76856481481481
May-2022,25.230218181818177
June-2022,30.512181818181812
July-2022,23.093890909090913
August-2022,18.7814089347079
September-2022,22.440618556701036
October-2022,24.94741379310346
November-2022,19.853310344827584
December-2022,15.578793103448277
January-2023,13.563024054982822
February-2023,11.844503105590062
March-2023,11.694472049689447
April-2023,11.315887850467293
May-2023,0
June-2023,0
July-2023,0
August-2023,0
September-2023,0
October-2023,0
